[[15, 16, 12, 3], [13, 14, 16, 15], [1, 11, 14, 13], [10, 4, 12, 11], [2, 3, 9, 10], [4, 2, 1, 9]]
[[14, 15, 11, 9], [12, 13, 15, 14], [1, 10, 13, 12], [2, 1, 11, 10], [4, 7, 8, 9], [2, 4, 8, 7]]
[[14, 15, 11, 9], [12, 13, 15, 14], [1, 10, 13, 12], [2, 1, 11, 10], [7, 8, 4, 9], [4, 2, 8, 7]]
[[13, 14, 2, 9], [11, 12, 14, 13], [10, 1, 12, 11], [7, 8, 6, 10], [5, 8, 7, 9], [1, 2, 6, 5]]
[[13, 14, 2, 9], [11, 12, 14, 13], [10, 6, 12, 11], [7, 8, 5, 10], [1, 8, 7, 9], [2, 1, 6, 5]]
[[14, 15, 3, 10], [12, 13, 15, 14], [11, 2, 13, 12], [8, 9, 1, 11], [7, 9, 8, 10], [1, 2, 3, 7]]
[[14, 15, 2, 3], [12, 13, 15, 14], [11, 1, 13, 12], [1, 9, 10, 11], [7, 8, 10, 9], [2, 3, 8, 7]]
[[14, 15, 1, 3], [12, 13, 15, 14], [11, 2, 13, 12], [1, 9, 10, 11], [7, 8, 10, 9], [2, 3, 8, 7]]
[[15, 16, 3, 4], [13, 14, 16, 15], [12, 1, 14, 13], [1, 10, 11, 12], [9, 2, 11, 10], [2, 3, 4, 9]]
[[15, 16, 3, 5], [13, 14, 16, 15], [12, 2, 14, 13], [1, 10, 11, 12], [9, 5, 11, 10], [2, 3, 1, 9]]
[[15, 16, 1, 4], [13, 14, 16, 15], [12, 2, 14, 13], [1, 10, 11, 12], [9, 3, 11, 10], [2, 3, 4, 9]]
[[15, 16, 5, 4], [13, 14, 16, 15], [12, 2, 14, 13], [1, 10, 11, 12], [9, 5, 11, 10], [2, 1, 4, 9]]
[[15, 16, 3, 5], [13, 14, 16, 15], [12, 2, 14, 13], [1, 10, 11, 12], [2, 9, 11, 10], [3, 1, 5, 9]]
[[15, 16, 2, 5], [13, 14, 16, 15], [12, 3, 14, 13], [1, 10, 11, 12], [2, 9, 11, 10], [3, 1, 5, 9]]
[[15, 16, 2, 4], [13, 14, 16, 15], [12, 9, 14, 13], [1, 10, 11, 12], [2, 3, 11, 10], [4, 1, 3, 9]]
[[15, 16, 4, 3], [13, 14, 16, 15], [12, 9, 14, 13], [1, 10, 11, 12], [2, 3, 11, 10], [4, 2, 1, 9]]
[[15, 16, 9, 4], [13, 14, 16, 15], [12, 4, 14, 13], [1, 10, 11, 12], [2, 3, 11, 10], [1, 3, 2, 9]]
[[15, 16, 9, 2], [13, 14, 16, 15], [12, 4, 14, 13], [1, 10, 11, 12], [2, 3, 11, 10], [1, 4, 3, 9]]
[[15, 16, 2, 9], [13, 14, 16, 15], [12, 4, 14, 13], [1, 10, 11, 12], [2, 3, 11, 10], [1, 4, 3, 9]]
[[13, 14, 2, 9], [11, 12, 14, 13], [10, 1, 12, 11], [8, 6, 2, 10], [7, 5, 8, 9], [1, 6, 5, 7]]
[[14, 15, 2, 10], [12, 13, 15, 14], [11, 1, 13, 12], [9, 8, 3, 11], [3, 7, 9, 10], [1, 2, 8, 7]]
[[14, 15, 3, 10], [12, 13, 15, 14], [11, 1, 13, 12], [9, 8, 3, 11], [2, 7, 9, 10], [1, 2, 8, 7]]
[[14, 15, 2, 10], [12, 13, 15, 14], [11, 8, 13, 12], [9, 2, 7, 11], [3, 1, 9, 10], [3, 1, 8, 7]]
[[14, 15, 1, 10], [12, 13, 15, 14], [11, 8, 13, 12], [9, 2, 7, 11], [3, 1, 9, 10], [3, 2, 8, 7]]
[[14, 15, 3, 10], [12, 13, 15, 14], [11, 8, 13, 12], [9, 2, 7, 11], [2, 1, 9, 10], [3, 1, 8, 7]]
[[15, 16, 2, 11], [13, 14, 16, 15], [12, 4, 14, 13], [10, 2, 3, 12], [9, 1, 10, 11], [1, 3, 4, 9]]
[[15, 16, 1, 11], [13, 14, 16, 15], [12, 4, 14, 13], [10, 2, 3, 12], [9, 1, 10, 11], [4, 3, 2, 9]]
[[15, 16, 3, 11], [13, 14, 16, 15], [12, 2, 14, 13], [10, 1, 5, 12], [5, 9, 10, 11], [1, 2, 3, 9]]
[[14, 15, 2, 3], [12, 13, 15, 14], [11, 1, 13, 12], [9, 10, 3, 11], [7, 8, 10, 9], [1, 2, 8, 7]]
[[14, 15, 2, 8], [12, 13, 15, 14], [11, 1, 13, 12], [9, 10, 3, 11], [7, 2, 10, 9], [3, 1, 7, 8]]
[[14, 15, 2, 8], [12, 13, 15, 14], [11, 4, 13, 12], [9, 10, 1, 11], [7, 2, 10, 9], [4, 1, 7, 8]]
[[15, 16, 3, 5], [13, 14, 16, 15], [12, 2, 14, 13], [10, 11, 5, 12], [9, 1, 11, 10], [1, 2, 3, 9]]
[[15, 16, 4, 3], [13, 14, 16, 15], [12, 1, 14, 13], [10, 11, 2, 12], [9, 4, 11, 10], [1, 2, 3, 9]]
[[15, 16, 3, 4], [13, 14, 16, 15], [12, 1, 14, 13], [10, 11, 2, 12], [1, 9, 11, 10], [2, 3, 4, 9]]
[[15, 16, 4, 3], [13, 14, 16, 15], [12, 2, 14, 13], [10, 11, 1, 12], [1, 9, 11, 10], [2, 3, 4, 9]]
[[15, 16, 9, 4], [13, 14, 16, 15], [12, 4, 14, 13], [10, 11, 3, 12], [1, 2, 11, 10], [1, 3, 2, 9]]
[[15, 16, 9, 5], [13, 14, 16, 15], [12, 1, 14, 13], [10, 11, 3, 12], [1, 2, 11, 10], [5, 3, 2, 9]]
[[15, 16, 1, 9], [13, 14, 16, 15], [12, 4, 14, 13], [10, 11, 3, 12], [1, 2, 11, 10], [4, 3, 2, 9]]
[[15, 16, 4, 3], [13, 14, 16, 15], [12, 1, 14, 13], [1, 11, 2, 12], [9, 10, 4, 11], [2, 3, 10, 9]]
[[16, 17, 4, 5], [14, 15, 17, 16], [13, 1, 15, 14], [1, 12, 2, 13], [2, 11, 3, 12], [3, 4, 5, 11]]
[[16, 17, 4, 7], [14, 15, 17, 16], [13, 3, 15, 14], [1, 12, 7, 13], [2, 11, 1, 12], [3, 4, 2, 11]]
[[16, 17, 7, 6], [14, 15, 17, 16], [13, 3, 15, 14], [1, 12, 7, 13], [2, 11, 6, 12], [3, 2, 1, 11]]
[[16, 17, 5, 4], [14, 15, 17, 16], [13, 6, 15, 14], [1, 12, 2, 13], [2, 1, 11, 12], [4, 5, 6, 11]]
[[16, 17, 5, 4], [14, 15, 17, 16], [13, 2, 15, 14], [1, 12, 3, 13], [11, 5, 1, 12], [2, 3, 4, 11]]
[[16, 17, 5, 4], [14, 15, 17, 16], [13, 1, 15, 14], [1, 12, 2, 13], [11, 5, 3, 12], [2, 3, 4, 11]]
[[16, 17, 3, 2], [14, 15, 17, 16], [13, 4, 15, 14], [1, 12, 5, 13], [11, 5, 1, 12], [2, 3, 4, 11]]
